start_ip|end_ip|country|region|city|conn-speed|country-conf|region-conf|city-conf|metro-code|latitude|longitude|country-code|region-code|city-code|continent-code|two-letter-country|area-code|zip-code|gmt-offset|in-dst|zip-code-text|zip-country|isp-name|
1.22.68.0|1.22.71.255|ind|mh|mumbai|broadband|5|4|3|-1|018.949|0072.831|356|1320|34785|4|in|0|0|+530|n|400001|ind|?|
1.22.72.0|1.22.74.255|ind|mh|mumbai|broadband|5|4|3|-1|018.949|0072.831|356|1320|34785|4|in|0|0|+530|n|400001|ind|tikona digital networks pvt ltd.|
1.22.75.0|1.22.79.255|ind|mh|mumbai|broadband|5|4|3|-1|018.949|0072.831|356|1320|34785|4|in|0|0|+530|n|400001|ind|?|
1.22.80.0|1.22.83.255|ind|mh|mumbai|broadband|5|4|3|-1|018.949|0072.831|356|1320|34785|4|in|0|0|+530|n|400001|ind|tikona digital networks pvt ltd.|
1.22.84.0|1.22.87.255|ind|mh|mumbai|broadband|5|4|3|-1|018.949|0072.831|356|1320|34785|4|in|0|0|+530|n|400001|ind|?|
1.22.88.0|1.22.89.255|ind|mh|mumbai|broadband|5|4|3|-1|018.949|0072.831|356|1320|34785|4|in|0|0|+530|n|400001|ind|tikona digital networks pvt ltd.|
1.22.90.0|1.22.103.255|ind|mh|mumbai|broadband|5|4|3|-1|018.949|0072.831|356|1320|34785|4|in|0|0|+530|n|400001|ind|?|
1.22.104.0|1.22.105.255|ind|mh|mumbai|broadband|5|4|3|-1|018.949|0072.831|356|1320|34785|4|in|0|0|+530|n|400001|ind|tikona digital networks pvt ltd.|
1.22.106.0|1.22.111.255|ind|mh|mumbai|broadband|5|4|3|-1|018.949|0072.831|356|1320|34785|4|in|0|0|+530|n|400001|ind|?|
1.22.112.0|1.22.113.255|ind|mh|mumbai|broadband|5|4|3|-1|018.949|0072.831|356|1320|34785|4|in|0|0|+530|n|400001|ind|tikona digital networks pvt ltd.|
1.22.114.0|1.22.119.255|ind|mh|mumbai|broadband|5|4|3|-1|018.949|0072.831|356|1320|34785|4|in|0|0|+530|n|400001|ind|?|
1.22.120.0|1.22.123.255|ind|mh|mumbai|broadband|5|4|3|-1|018.949|0072.831|356|1320|34785|4|in|0|0|+530|n|400001|ind|tikona digital networks pvt ltd.|
1.22.124.0|1.22.126.255|ind|mh|mumbai|broadband|5|4|3|-1|018.949|0072.831|356|1320|34785|4|in|0|0|+530|n|400001|ind|?|
1.22.127.0|1.22.137.255|ind|mh|mumbai|broadband|5|4|3|-1|018.949|0072.831|356|1320|34785|4|in|0|0|+530|n|400001|ind|tikona digital networks pvt ltd.|
1.22.138.0|1.22.138.255|ind|mh|mumbai|broadband|5|4|3|-1|018.949|0072.831|356|1320|34785|4|in|0|0|+530|n|400001|ind|?|
1.22.139.0|1.22.148.255|ind|mh|mumbai|broadband|5|4|3|-1|018.949|0072.831|356|1320|34785|4|in|0|0|+530|n|400001|ind|tikona digital networks pvt ltd.|
1.22.149.0|1.22.150.255|ind|mh|mumbai|broadband|5|4|3|-1|018.949|0072.831|356|1320|34785|4|in|0|0|+530|n|400001|ind|?|
1.22.151.0|1.22.163.255|ind|mh|mumbai|broadband|5|4|3|-1|018.949|0072.831|356|1320|34785|4|in|0|0|+530|n|400001|ind|tikona digital networks pvt ltd.|
1.22.164.0|1.22.166.255|ind|mh|mumbai|broadband|5|4|3|-1|018.949|0072.831|356|1320|34785|4|in|0|0|+530|n|400001|ind|?|
1.22.167.0|1.22.175.255|ind|mh|mumbai|broadband|5|4|3|-1|018.949|0072.831|356|1320|34785|4|in|0|0|+530|n|400001|ind|tikona digital networks pvt ltd.|
1.22.176.0|1.22.178.255|ind|mh|mumbai|broadband|5|4|3|-1|018.949|0072.831|356|1320|34785|4|in|0|0|+530|n|400001|ind|?|
1.22.179.0|1.22.181.255|ind|mh|mumbai|broadband|5|4|3|-1|018.949|0072.831|356|1320|34785|4|in|0|0|+530|n|400001|ind|tikona digital networks pvt ltd.|
1.22.182.0|1.22.183.255|ind|mh|mumbai|broadband|5|4|3|-1|018.949|0072.831|356|1320|34785|4|in|0|0|+530|n|400001|ind|?|
1.22.184.0|1.22.185.255|ind|mh|mumbai|broadband|5|4|3|-1|018.949|0072.831|356|1320|34785|4|in|0|0|+530|n|400001|ind|tikona digital networks pvt ltd.|
1.22.186.0|1.22.188.255|ind|mh|mumbai|broadband|5|4|3|-1|018.949|0072.831|356|1320|34785|4|in|0|0|+530|n|400001|ind|?|
1.22.189.0|1.22.193.255|ind|mh|mumbai|broadband|5|4|3|-1|018.949|0072.831|356|1320|34785|4|in|0|0|+530|n|400001|ind|tikona digital networks pvt ltd.|
1.22.194.0|1.22.195.255|ind|mh|mumbai|broadband|5|4|3|-1|018.949|0072.831|356|1320|34785|4|in|0|0|+530|n|400001|ind|?|
1.22.196.0|1.22.196.255|ind|mh|mumbai|broadband|5|4|3|-1|018.949|0072.831|356|1320|34785|4|in|0|0|+530|n|400001|ind|tikona digital networks pvt ltd.|
1.22.197.0|1.22.199.255|ind|mh|mumbai|broadband|5|4|3|-1|018.949|0072.831|356|1320|34785|4|in|0|0|+530|n|400001|ind|?|
1.22.200.0|1.22.201.255|ind|mh|mumbai|broadband|5|4|3|-1|018.949|0072.831|356|1320|34785|4|in|0|0|+530|n|400001|ind|tikona digital networks pvt ltd.|
1.22.202.0|1.22.205.255|ind|mh|mumbai|broadband|5|4|3|-1|018.949|0072.831|356|1320|34785|4|in|0|0|+530|n|400001|ind|?|
1.22.206.0|1.22.209.255|ind|mh|mumbai|broadband|5|4|3|-1|018.949|0072.831|356|1320|34785|4|in|0|0|+530|n|400001|ind|tikona digital networks pvt ltd.|
1.22.210.0|1.22.214.255|ind|mh|mumbai|broadband|5|4|3|-1|018.949|0072.831|356|1320|34785|4|in|0|0|+530|n|400001|ind|?|
1.22.215.0|1.22.215.255|ind|mh|mumbai|broadband|5|4|3|-1|018.949|0072.831|356|1320|34785|4|in|0|0|+530|n|400001|ind|tikona digital networks pvt ltd.|
1.22.216.0|1.22.223.255|ind|mh|mumbai|broadband|5|4|3|-1|018.949|0072.831|356|1320|34785|4|in|0|0|+530|n|400001|ind|?|
1.22.224.0|1.22.228.255|ind|mh|mumbai|broadband|5|4|3|-1|018.949|0072.831|356|1320|34785|4|in|0|0|+530|n|400001|ind|tikona digital networks pvt ltd.|
1.22.229.0|1.22.231.255|ind|mh|mumbai|broadband|5|4|3|-1|018.949|0072.831|356|1320|34785|4|in|0|0|+530|n|400001|ind|?|
1.22.232.0|1.22.233.255|ind|mh|mumbai|broadband|5|4|3|-1|018.949|0072.831|356|1320|34785|4|in|0|0|+530|n|400001|ind|tikona digital networks pvt ltd.|
1.22.234.0|1.22.235.255|ind|mh|mumbai|broadband|5|4|3|-1|018.949|0072.831|356|1320|34785|4|in|0|0|+530|n|400001|ind|?|
1.22.236.0|1.22.239.255|ind|mh|mumbai|broadband|5|4|3|-1|018.949|0072.831|356|1320|34785|4|in|0|0|+530|n|400001|ind|tikona digital networks pvt ltd.|
1.22.240.0|1.22.247.255|ind|mh|mumbai|broadband|5|4|3|-1|018.949|0072.831|356|1320|34785|4|in|0|0|+530|n|400001|ind|?|
1.22.248.0|1.23.16.255|ind|mh|mumbai|broadband|5|4|3|-1|018.949|0072.831|356|1320|34785|4|in|0|0|+530|n|400001|ind|tikona digital networks pvt ltd.|
1.23.17.0|1.23.31.255|ind|mh|mumbai|broadband|5|4|3|-1|018.949|0072.831|356|1320|34785|4|in|0|0|+530|n|400001|ind|?|
1.23.32.0|1.23.95.255|ind|mh|mumbai|broadband|5|4|3|-1|018.949|0072.831|356|1320|34785|4|in|0|0|+530|n|400001|ind|tikona digital networks pvt ltd.|
1.23.96.0|1.23.127.255|ind|mh|mumbai|broadband|5|4|3|-1|018.949|0072.831|356|1320|34785|4|in|0|0|+530|n|400001|ind|?|
1.23.128.0|1.23.239.255|ind|mh|mumbai|broadband|5|4|3|-1|018.949|0072.831|356|1320|34785|4|in|0|0|+530|n|400001|ind|tikona digital networks pvt ltd.|
1.23.240.0|1.23.240.255|ind|mh|mumbai|broadband|5|4|3|-1|018.949|0072.831|356|1320|34785|4|in|0|0|+530|n|400001|ind|?|
1.23.241.0|1.23.241.255|ind|mh|mumbai|broadband|5|4|3|-1|018.949|0072.831|356|1320|34785|4|in|0|0|+530|n|400001|ind|tikona digital networks pvt ltd.|
1.23.242.0|1.23.247.255|ind|mh|mumbai|broadband|5|4|3|-1|018.949|0072.831|356|1320|34785|4|in|0|0|+530|n|400001|ind|?|
1.23.248.0|1.23.255.255|ind|mh|mumbai|broadband|5|4|3|-1|018.949|0072.831|356|1320|34785|4|in|0|0|+530|n|400001|ind|tikona digital networks pvt ltd.|
1.24.0.0|1.31.255.255|chn|15|hohhot|broadband|5|4|4|-1|040.814|0111.649|156|15967|39354|4|cn|0|0|+800|n|010000|chn|cncgroup china169 backbone|
1.32.0.0|1.32.255.255|hkg|no region|hong kong|broadband|5|4|4|-1|022.276|0114.167|344|7310|390|4|hk|0|0|+800|n|?|hkg|?|
1.33.0.0|1.33.5.255|jpn|36|tokushima|broadband|5|4|4|-1|034.069|0134.553|392|9630|433|4|jp|0|0|+900|n|770-0000|jpn|block of 32 as numbers from as2497 to as2528|
1.33.6.0|1.33.13.255|jpn|13|tokyo|broadband|5|5|4|-1|035.676|0139.770|392|9492|2767|4|jp|0|0|+900|n|103-0013|jpn|block of 32 as numbers from as2497 to as2528|
1.33.14.0|1.33.15.255|jpn|14|kanagawa|broadband|5|4|4|-1|035.489|0139.637|392|9515|10830|4|jp|0|0|+900|n|221-0045|jpn|block of 32 as numbers from as2497 to as2528|
1.33.16.0|1.33.19.255|jpn|36|tokushima|broadband|5|4|4|-1|034.069|0134.553|392|9630|433|4|jp|0|0|+900|n|770-0000|jpn|block of 32 as numbers from as2497 to as2528|
1.33.20.0|1.33.23.255|jpn|13|tokyo|broadband|5|4|4|-1|035.676|0139.770|392|9492|2767|4|jp|0|0|+900|n|103-0013|jpn|block of 32 as numbers from as2497 to as2528|
1.33.24.0|1.33.26.255|jpn|14|kanagawa|broadband|5|4|4|-1|035.489|0139.637|392|9515|10830|4|jp|0|0|+900|n|221-0045|jpn|block of 32 as numbers from as2497 to as2528|
1.33.27.0|1.33.27.255|jpn|13|tokyo|broadband|5|5|4|-1|035.676|0139.770|392|9492|2767|4|jp|0|0|+900|n|103-0013|jpn|block of 32 as numbers from as2497 to as2528|
1.33.28.0|1.33.28.255|jpn|14|kanagawa|broadband|5|4|4|-1|035.489|0139.637|392|9515|10830|4|jp|0|0|+900|n|221-0045|jpn|block of 32 as numbers from as2497 to as2528|
1.33.29.0|1.33.31.255|jpn|09|tochigi|broadband|5|4|4|-1|036.377|0139.738|392|9449|22156|4|jp|0|0|+900|n|328-0000|jpn|block of 32 as numbers from as2497 to as2528|
1.33.32.0|1.33.37.255|jpn|27|osaka|broadband|5|4|4|-1|034.678|0135.513|392|9584|405|4|jp|0|0|+900|n|575-0011|jpn|block of 32 as numbers from as2497 to as2528|
1.33.38.0|1.33.39.255|jpn|13|tokyo|broadband|5|4|4|-1|035.676|0139.770|392|9492|2767|4|jp|0|0|+900|n|103-0013|jpn|block of 32 as numbers from as2497 to as2528|
1.33.40.0|1.33.43.255|jpn|13|tokyo|broadband|5|5|4|-1|035.676|0139.770|392|9492|2767|4|jp|0|0|+900|n|103-0013|jpn|block of 32 as numbers from as2497 to as2528|
1.33.44.0|1.33.46.255|jpn|10|gunma|broadband|5|4|4|-1|036.391|0139.000|392|9454|11080|4|jp|0|0|+900|n|377-1617|jpn|block of 32 as numbers from as2497 to as2528|
1.33.47.0|1.33.49.255|jpn|13|tokyo|broadband|5|5|4|-1|035.676|0139.770|392|9492|2767|4|jp|0|0|+900|n|103-0013|jpn|block of 32 as numbers from as2497 to as2528|
1.33.50.0|1.33.53.255|jpn|27|osaka|broadband|5|4|4|-1|034.678|0135.513|392|9584|405|4|jp|0|0|+900|n|575-0011|jpn|block of 32 as numbers from as2497 to as2528|
1.33.54.0|1.33.65.255|jpn|13|tokyo|broadband|5|4|4|-1|035.676|0139.770|392|9492|2767|4|jp|0|0|+900|n|103-0013|jpn|block of 32 as numbers from as2497 to as2528|
1.33.66.0|1.33.84.255|jpn|27|osaka|broadband|5|4|4|-1|034.678|0135.513|392|9584|405|4|jp|0|0|+900|n|575-0011|jpn|block of 32 as numbers from as2497 to as2528|
1.33.85.0|1.33.93.255|jpn|23|nagoya|broadband|5|4|4|-1|035.144|0136.916|392|9562|11213|4|jp|0|0|+900|n|289-0116|jpn|block of 32 as numbers from as2497 to as2528|
1.33.94.0|1.33.103.255|jpn|13|tokyo|broadband|5|4|4|-1|035.676|0139.770|392|9492|2767|4|jp|0|0|+900|n|103-0013|jpn|block of 32 as numbers from as2497 to as2528|
1.33.104.0|1.33.106.255|jpn|08|ibaraki|broadband|5|4|4|-1|036.279|0140.419|392|9440|24816|4|jp|0|0|+900|n|311-3137|jpn|block of 32 as numbers from as2497 to as2528|
1.33.107.0|1.33.123.255|jpn|13|tokyo|broadband|5|5|4|-1|035.676|0139.770|392|9492|2767|4|jp|0|0|+900|n|103-0013|jpn|block of 32 as numbers from as2497 to as2528|
